ID,Theme,Citation Key,Authors,Year,Title,Outlet / Status,Document / Data,Method,Outcome / Task,Key Finding,Overlap with Disclosure Drift,Novelty Threat,Planned Use,Source URL,Verification,Last Checked
BASE-02,Financial dictionaries,loughran2011liability,Loughran and McDonald,2011,"When Is a Liability Not a Liability? Textual Analysis, Dictionaries, and 10-Ks",Journal of Finance,10-K filings,Finance-specific word lists and textual measures,Market and disclosure outcomes,General-purpose sentiment dictionaries can misclassify financial language; domain-specific dictionaries perform better.,Canonical tone baseline whose temporal stability is central to our test.,Low,Required traditional textual baseline.,https://doi.org/10.1111/j.1540-6261.2010.01625.x,Journal metadata reviewed,2026-07-25
BASE-03,Forward-looking disclosure prediction,li2010forward,Li,2010,The Information Content of Forward-Looking Statements in Corporate Filings—A Naïve Bayesian Machine Learning Approach,Journal of Accounting Research,Corporate filings,Naïve Bayes classification of forward-looking statements,Future earnings and liquidity,Machine-learned forward-looking disclosure content contains information about future firm outcomes.,Foundational evidence that filing text can predict future operating outcomes.,Low,Supports the economic-outcome prediction design.,https://doi.org/10.1111/j.1475-679X.2010.00382.x,Journal metadata reviewed,2026-07-25
BASE-04,Financial readability,loughran2014readability,Loughran and McDonald,2014,Measuring Readability in Financial Disclosures,Journal of Finance,SEC filings,File size and readability proxies,Disclosure readability and market consequences,Common readability formulas may be poorly suited to financial disclosures; document size can be a useful proxy.,Core baseline and warning against uncritical readability measures.,Low,Baseline specification and construct-validity check.,https://doi.org/10.1111/jofi.12162,Journal metadata reviewed,2026-07-25
BASE-05,Risk-factor information,campbell2014risk,"Campbell, Chen, Dhaliwal, Lu, and Steele",2014,The Information Content of Mandatory Risk Factor Disclosures in Corporate Filings,Review of Accounting Studies,Item 1A risk-factor disclosures,Textual analysis and capital-market tests,Firm risk and market outcomes,Mandatory risk-factor text contains economically relevant information.,Supports including Item 1A and testing whether its predictive content changes over time.,Low,Section selection and risk-language baseline.,https://doi.org/10.1007/s11142-013-9258-3,Journal metadata reviewed,2026-07-25
BASE-06,Financial constraints from 10-K text,bodnaruk2015constraints,"Bodnaruk, Loughran, and McDonald",2015,Using 10-K Text to Gauge Financial Constraints,Journal of Financial and Quantitative Analysis,10-K filings,Constraining-language dictionary and validation,Financial constraints,Constraining language in 10-Ks provides information about firms’ financial constraints.,Canonical dictionary feature for traditional-model comparisons.,Low,Traditional constraining-language feature.,https://doi.org/10.1017/S0022109015000561,Journal metadata reviewed,2026-07-25
BASE-07,Textual-analysis methodology,loughran2015wordlists,Loughran and McDonald,2015,The Use of Word Lists in Textual Analysis,Journal of Behavioral Finance,Financial text,Methodological review of dictionary-based text analysis,Construct validity of word-list measures,Word-list choice and domain fit materially affect textual-analysis results.,Guides dictionary versioning and validation under language change.,Low,Methodology and feature-audit standards.,https://doi.org/10.1080/15427560.2015.1000335,Journal metadata reviewed,2026-07-25
BASE-08,Accounting and finance text review,loughran2016survey,Loughran and McDonald,2016,Textual Analysis in Accounting and Finance: A Survey,Journal of Accounting Research,Accounting and finance textual-analysis literature,Survey,"Methods, measures, and applications",Synthesizes the core methodological choices and pitfalls in financial textual analysis.,Foundational literature-map source.,Low,Backward citation chaining and baseline justification.,https://doi.org/10.1111/1475-679X.12123,Journal metadata reviewed,2026-07-25
BASE-09,Plain-English readability,bonsall2017bog,"Bonsall, Leone, Miller, and Rennekamp",2017,A Plain English Measure of Financial Reporting Readability,Journal of Accounting and Economics,Financial reports,BOG readability measure,Financial-report readability and economic outcomes,Develops a domain-tailored readability measure with stronger construct validity than generic formulas.,Important style baseline and alternative readability definition.,Low,Readability robustness measure.,https://doi.org/10.1016/j.jacceco.2017.03.002,Journal metadata reviewed,2026-07-25
BASE-10,Peer language and industry structure,hoberg2016networks,Hoberg and Phillips,2016,Text-Based Network Industries and Endogenous Product Differentiation,Journal of Political Economy,10-K product descriptions,Text-based similarity networks,Industry structure and product-market competition,Filing text can construct dynamic peer groups and product-market similarity.,Supports industry-peer similarity and convergence components.,Low,Peer-language baseline and dynamic industry controls.,https://doi.org/10.1086/688176,Journal metadata reviewed,2026-07-25
PRED-01,10-K predictive modeling,mai2019bankruptcy,"Mai, Tian, Lee, and Ma",2019,Deep Learning Models for Bankruptcy Prediction Using Textual Disclosures,European Journal of Operational Research,Corporate textual disclosures and accounting data,Deep learning and textual features,Bankruptcy prediction,Textual disclosures can improve bankruptcy prediction beyond structured financial variables.,Strong precedent for future-adverse-outcome prediction from disclosure text.,Low-Medium,Predictive baseline literature and outcome-design comparison.,https://doi.org/10.1016/j.ejor.2018.10.024,Journal metadata reviewed,2026-07-25
DATA-01,SEC filing corpus,loukas2021edgar,"Loukas, Fergadiotis, Chalkidis, Spyropoulou, Malakasiotis, and Androutsopoulos",2021,EDGAR-CORPUS: Billions of Tokens Make the World Go Round,Economics and Natural Language Processing workshop,Large SEC EDGAR filing corpus,Corpus construction and preprocessing,Reusable financial-language corpus,Provides large-scale preprocessing conventions and evidence on the size and complexity of SEC text.,Engineering and corpus-design precedent.,Low,Parser and corpus-construction references.,https://aclanthology.org/2021.econlp-1.2/,Primary publication page reviewed,2026-07-25
NLP-01,Financial-domain language model,araci2019finbert,Araci,2019,FinBERT: Financial Sentiment Analysis with Pre-trained Language Models,arXiv preprint,Financial sentiment datasets,Domain-adapted BERT,Financial sentiment classification,Domain-adapted language modeling improves financial sentiment classification.,"Canonical embedding/sentiment baseline, with pretraining-cutoff issues to document.",Low,Financial-domain model baseline and contamination discussion.,https://arxiv.org/abs/1908.10063,Primary source reviewed,2026-07-25
GROUND-01,Evidence-grounded financial reasoning,chen2021finqa,Chen et al.,2021,FinQA: A Dataset of Numerical Reasoning over Financial Data,EMNLP 2021,"Financial reports with text, tables, questions, and reasoning programs",Numerical reasoning benchmark,Evidence-linked financial question answering,Financial reasoning requires linking narrative and tabular evidence through explicit computations.,Supports the design of evidence-linked textual and numeric features.,Low,Evidence-grounding design precedent.,https://aclanthology.org/2021.emnlp-main.300/,Primary publication page reviewed,2026-07-25
GROUND-02,Hybrid table-text reasoning,zhu2021tatqa,Zhu et al.,2021,TAT-QA: A Question Answering Benchmark on a Hybrid of Tabular and Textual Content in Finance,ACL 2021,Financial reports with tables and narrative text,Hybrid numerical and textual reasoning benchmark,Financial question answering,Accurate financial reasoning often requires combining tabular facts with surrounding narrative evidence.,Supports multimodal evidence-grounded feature construction.,Low,Architecture and validation precedent for claim-to-fact links.,https://aclanthology.org/2021.acl-long.254/,Primary publication page reviewed,2026-07-25
CAL-01,Calibration under shift,ovadia2019uncertainty,Ovadia et al.,2019,Can You Trust Your Model’s Uncertainty? Evaluating Predictive Uncertainty Under Dataset Shift,NeurIPS 2019,Multiple benchmark datasets with synthetic and natural shifts,Comparative uncertainty and calibration evaluation,Predictive uncertainty under distribution shift,Uncertainty quality and calibration often deteriorate under dataset shift.,Core methodological precedent for treating calibration decay as a primary reliability outcome.,Low,Calibration metrics and robustness protocol.,https://papers.nips.cc/paper/2019/hash/8558cb408c1d76621371888657d2eb1d-Abstract.html,Primary publication page reviewed,2026-07-25
SHIFT-01,Temporal distribution-shift benchmark,yao2022wildtime,Yao et al.,2022,Wild-Time: A Benchmark of In-the-Wild Distribution Shift over Time,NeurIPS 2022,Multiple real-world temporally evolving datasets,Benchmark for temporal distribution shift,Model generalization over time,Real-world temporal shift creates failures not captured by random train-test splits.,General temporal-split and benchmarking precedent.,Low,Temporal-evaluation protocol and leakage prevention.,https://arxiv.org/abs/2211.14238,Primary source reviewed,2026-07-25
CAL-02,Modern model calibration,minderer2021calibration,Minderer et al.,2021,Revisiting the Calibration of Modern Neural Networks,NeurIPS 2021,Image-classification benchmarks and distribution shifts,Large-scale calibration comparison,Calibration in- and out-of-distribution,"Architecture, pretraining, and shift conditions materially affect calibration.","Supports reporting calibration slope, intercept, and error rather than accuracy alone.",Low,Metric choice and calibration interpretation.,https://arxiv.org/abs/2106.07998,Primary source reviewed,2026-07-25
DETECT-01,AI-text detector limitations,sadasivan2023detect,Sadasivan et al.,2023,Can AI-Generated Text Be Reliably Detected?,arXiv / peer-review version,Human and machine-generated text across generators and attacks,Theoretical and empirical detector evaluation,AI-text detection reliability,Detection can be unreliable and vulnerable to distribution shift and text modification.,Directly supports treating AI-likeness as a noisy proxy rather than ground truth.,Low,Detector-validity limitations and sensitivity tests.,https://arxiv.org/abs/2303.11156,Primary source reviewed,2026-07-25
DETECT-02,AI-detector bias,liang2023detectors,Liang et al.,2023,GPT Detectors Are Biased Against Non-Native English Writers,Patterns,Human writing and detector outputs,Bias audit of AI-text detectors,False-positive rates across writer groups,AI detectors can produce systematic false positives and inequitable errors.,Reinforces that detector output cannot be interpreted as verified AI authorship.,Low,Ethical and construct-validity limitations.,https://doi.org/10.1016/j.patter.2023.100779,Journal metadata reviewed,2026-07-25
DETECT-03,AI-text detection method,mitchell2023detectgpt,Mitchell et al.,2023,DetectGPT: Zero-Shot Machine-Generated Text Detection Using Probability Curvature,ICML 2023,Generated and human text,Zero-shot probability-curvature detector,Machine-generated-text detection,Introduces a prominent detector approach while illustrating model- and distribution-dependence.,"Potential sensitivity benchmark, not a source of definitive labels.",Low,Optional detector comparison and limitation analysis.,https://proceedings.mlr.press/v202/mitchell23a.html,Primary publication page reviewed,2026-07-25
BASE-11,Year-over-year MD&A change,brown2011mdachanges,"Brown, Stephen V.; Tucker, Jennifer Wu",2011,Large-Sample Evidence on Firms’ Year-over-Year MD&A Modifications,Journal of Accounting Research,Management’s Discussion and Analysis sections,Year-over-year textual modification scores and capital-market tests,"Economic change, filing reactions, and disclosure usefulness","MD&A modification captures economically meaningful disclosure change, while the usefulness of modification measures can vary over time.",Foundational precedent for longitudinal disclosure-change and similarity features.,Low,Required year-over-year similarity baseline and interpretation guide.,https://doi.org/10.1111/j.1475-679X.2010.00396.x,Primary journal page reviewed,2026-07-25
BASE-12,MD&A tone change,feldman2010tone,"Feldman, Ronen; Govindaraj, Suresh; Livnat, Joshua; Segal, Benjamin",2010,"Management’s Tone Change, Post Earnings Announcement Drift and Accruals",Review of Accounting Studies,MD&A sections of Forms 10-K and 10-Q,Tone-change measures combined with financial controls,Post-announcement returns and incremental disclosure information,Changes in management tone contain information beyond contemporaneous financial measures.,Canonical tone-change baseline that could become unstable when drafting style changes.,Low,Traditional tone-change benchmark.,https://ssrn.com/abstract=1287083,Primary SSRN page reviewed,2026-07-25
BASE-13,Risk disclosure change,kravet2013risk,"Kravet, Todd D.; Muslu, Volkan",2013,Textual Risk Disclosures and Investors’ Risk Perceptions,Review of Accounting Studies,10-K textual risk disclosures,Disclosure-change measures and market/analyst responses,"Trading, volatility, and investor risk perception",Changes in risk disclosure are associated with changes in investor risk perceptions.,Foundational Item 1A change measure and risk-language benchmark.,Low,Risk-section baseline and falsification design.,https://doi.org/10.1007/s11142-013-9228-9,Primary bibliographic and journal metadata reviewed,2026-07-25
BASE-14,Risk-topic discovery,bao2014risktypes,"Bao, Yang; Datta, Anindya",2014,Simultaneously Discovering and Quantifying Risk Types from Textual Risk Disclosures,Management Science,Corporate textual risk disclosures,Topic modeling for discovery and quantification of risk types,Risk-type measurement and investor perceptions,Distinct textual risk categories can be discovered and linked differently to perceived risk.,Precedent for interpretable risk-topic components rather than one aggregate tone score.,Low,Risk taxonomy and component-level feature audit.,https://doi.org/10.1287/mnsc.2014.1930,Primary journal page reviewed,2026-07-25
BASE-15,Risk specificity,hope2016specific,"Hope, Ole-Kristian; Hu, Danqi; Lu, Hai",2016,The Benefits of Specific Risk-Factor Disclosures,Review of Accounting Studies,Item 1A risk-factor disclosures,Specificity measures and capital-market analyses,Disclosure informativeness and market outcomes,More specific risk-factor disclosures are more informative than generic risk language.,Supports firm-specific term density and claim-specificity components.,Low,Specificity baseline and evidence-grounding definition.,https://doi.org/10.1007/s11142-016-9371-1,Primary journal metadata reviewed,2026-07-25
BASE-16,Long-run 10-K evolution,dyer2017evolution,"Dyer, Travis; Lang, Mark; Stice-Lawrence, Lorien",2017,The Evolution of 10-K Textual Disclosure: Evidence from Latent Dirichlet Allocation,Journal of Accounting and Economics,Large historical corpus of 10-K filings,Topic modeling and longitudinal disclosure analysis,Long-run evolution in filing topics and properties,10-K disclosure content and structure evolve materially over long horizons.,Critical warning that post-2022 differences must be separated from ordinary long-run evolution.,Medium,"Pretrend modeling, placebo cutoffs, and historical context.",https://doi.org/10.1016/j.jacceco.2017.07.002,Primary journal metadata reviewed,2026-07-25
PRED-02,Disclosure change and future returns,cohen2020lazyprices,"Cohen, Lauren; Malloy, Christopher J.; Nguyen, Quoc H.",2020,Lazy Prices,Journal of Finance,Corporate filing text and year-over-year disclosure changes,Textual change measures and asset-pricing tests,Future stock returns,Changes in corporate filings contain predictive information that markets may process slowly.,Major precedent for predictive power in disclosure changes.,Medium,Similarity/change benchmark while distinguishing operating outcomes from returns.,https://doi.org/10.1111/jofi.12885,Primary journal metadata reviewed,2026-07-25
PRED-03,Text-based risk prediction,kogan2009risk,"Kogan, Shimon; Levin, Dimitry; Routledge, Bryan R.; Sagi, Jacob S.; Smith, Noah A.",2009,Predicting Risk from Financial Reports with Regression,NAACL 2009,Financial reports,Supervised regression over textual representations,Firm risk prediction,Textual representations of financial reports can predict quantitative risk outcomes.,Early direct precedent for supervised prediction from filing text.,Low-Medium,Historical modeling baseline and literature chain.,https://aclanthology.org/N09-1038/,Primary ACL page reviewed,2026-07-25
PRED-04,Adaptive financial dictionaries,sedinkina2019adaptation,"Sedinkina, Marina; Breitkopf, Nikolas; Schütze, Hinrich",2019,Automatic Domain Adaptation Outperforms Manual Domain Adaptation for Predicting Financial Outcomes,ACL 2019,Financial text and market outcomes,Automatically adapted sentiment dictionaries,Excess returns and volatility,Context-driven automatic adaptation can outperform manually adapted financial dictionaries.,Shows that fixed dictionaries may age and that context-sensitive adaptation matters.,Medium,Fixed-vocabulary versus updated-vocabulary robustness test.,https://aclanthology.org/P19-1034/,Primary ACL page reviewed,2026-07-25
PRED-05,Soft-information risk prediction,tsai2017softrisk,"Tsai, Ming-Feng; Wang, Chuan-Ju",2017,On the Risk Prediction and Analysis of Soft Information in Finance Reports,European Journal of Operational Research,Narrative soft information in financial reports,Text classification and risk prediction,Corporate risk measures,Soft textual information can improve risk prediction and reveal interpretable risk language.,Direct soft-information prediction precedent.,Medium,Predictive-text baseline and feature interpretation.,https://doi.org/10.1016/j.ejor.2016.06.069,Primary journal metadata reviewed,2026-07-25
REVIEW-01,Accounting textual-analysis review,bochkay2023whatsnext,"Bochkay, Khrystyna; Brown, Stephen V.; Leone, Andrew J.; Tucker, Jennifer Wu",2023,Textual Analysis in Accounting: What’s Next?,Contemporary Accounting Research,Accounting textual-analysis literature,Critical review and research agenda,"Construct validity, methods, and future directions","Emphasizes stronger construct validation, richer textual structure, and careful alignment between measures and economic questions.",Directly informs methodological discipline and prohibited shortcut rules.,Low,Research-design and validation standards.,https://doi.org/10.1111/1911-3846.12825,Primary journal metadata reviewed,2026-07-25
PRED-06,Narrative prediction of tax outcomes,bogachek2026tax,"Bogachek, Olga; De Vito, Antonio; Demeré, Paul; Grossetti, Francesco",2026,Using Narrative Disclosures to Predict Tax Outcomes,Review of Accounting Studies,10-K narrative disclosures,Topic modeling and machine-learning prediction,Cash effective tax rates and related tax outcomes,Narrative topics add predictive information about future tax outcomes beyond quantitative information.,Strong evidence that 10-K narratives already predict future fundamental outcomes.,Medium-High,Prohibit broad novelty claims about predicting fundamentals from narrative disclosure.,https://doi.org/10.1007/s11142-025-09914-3,Primary journal page reviewed,2026-07-25
PRED-07,Learning fundamentals from text,kim2024fundamentals,"Kim, Alex G.; Muhn, Maximilian; Nikolaev, Valeri V.; Zhang, Yijing",2024,Learning Fundamentals from Text,Working paper,Corporate narrative disclosures,Machine learning designed to extract information about firm fundamentals,Fundamental economic variables and future firm information,Text models can learn economically meaningful firm fundamentals from narrative disclosure.,Close neighbor for evidence extraction and fundamental prediction.,Medium-High,Compare our evidence-grounded definition and temporal reliability focus.,https://ssrn.com/abstract=5047947,Primary SSRN and institutional pages reviewed,2026-07-25
PRED-08,Filing changes and financial performance,gupta2024performance,"Gupta, Aparna; Rawte, Vipula; Zaki, Mohammed J.",2024,Predicting Firm Financial Performance from SEC Filing Changes Using Automatically Generated Dictionary,Computational Economics,"10-K and 8-K filing changes, with a U.S. bank application",Automatically generated dictionaries and predictive modeling,Multiple future financial-performance indicators,Automatically learned filing-change dictionaries can improve firm-performance prediction relative to standard dictionaries.,"Direct overlap with disclosure changes, automatically learned language, and future financial performance.",High,Highest-priority comparison for outcome and adaptive-dictionary design.,https://doi.org/10.1007/s10614-023-10443-x,Primary article metadata and author-hosted paper reviewed,2026-07-25
PRED-09,Operating and financing risk measures,grundy2025riskmeasures,"Grundy, Bruce D.; Petry, Stefan",2025,Constructing Financing and Operating Risk Measures from 10-K Text,SSRN working paper,Item 1A risk factors in Form 10-K,Risk-factor classification aggregated into financing and operating risk indices,Operating/financing risk and asset/equity volatility,Text-derived financing and operating risk indices behave consistently with economically related risk measures.,Directly occupies the operating-risk-from-10-K-text space.,High,Explicitly distinguish our future operating-margin outcome and reliability-under-shift question.,https://ssrn.com/abstract=5949674,Primary SSRN page reviewed,2026-07-25
PRED-10,One-year bankruptcy prediction,zhang2026bankruptcy,"Zhang, Zhen; Zheng, Moxuan; Zhang, Tongchen; Lin, Luyun; Wang, Yiqing; Lin, Lixing",2026,Bankruptcy Prediction from 10-K Narratives: Evidence from Interpretable Text Scores and Accounting Baselines,arXiv preprint,"10-K narratives, SEC financial data, and bankruptcy events",Interpretable distress dictionary plus accounting baseline with holdout and out-of-time validation,Bankruptcy during the year following the filing,An interpretable narrative stress score adds substantial incremental predictive value over accounting variables.,"Very close on one-year future adverse outcomes, interpretable text, accounting baselines, and out-of-time testing.",High,"Direct competitor; distinguish continuous operating deterioration, calibration decay, GenAI-era split, and rewrite robustness.",https://arxiv.org/abs/2606.05623,Primary arXiv page and paper reviewed,2026-07-25
PRED-11,Out-of-sample 10-K prediction audit,lin2026auditing,"Lin, Tom",2026,Auditing Predictive Information in SEC 10-K Text: Evidence from a 50-Firm U.S. Large-Cap Pilot,SSRN pilot working paper,SEC 10-K text for a 50-firm U.S. large-cap pilot,Out-of-sample audit of predictive information in filing text,Predictive value of 10-K narrative features,Provides a recent direct audit of whether 10-K text contains stable out-of-sample predictive information.,Narrows any claim of being the first reliability or predictive-audit study of 10-K text.,High,Direct competitor; treat pilot scope and exact outcomes cautiously pending full-paper review.,https://ssrn.com/abstract=6974978,Primary SSRN page and PDF metadata reviewed,2026-07-25
BASE-17,Structural disclosure prominence,chin2026prominence,"Chin, Michael; Liu, Yue; Moffitt, Kevin",2026,Voluntary Disclosure Through the Prominence of Risk Factors in the 10-K,"Contemporary Accounting Research, forthcoming",Ordering and prominence of Item 1A risk factors,Structural disclosure measures linked to future adverse outcomes,"Credit downgrades, bankruptcy, and goodwill impairments",The order of risk factors conveys incremental information about which risks are more likely to materialize.,Shows that structure and ordering—not only wording—can predict future outcomes.,Medium-High,Add prominence/order controls so style drift is not confused with structural information.,https://whitman.syracuse.edu/about/newsroom/whitman-news/news-detail/2026/07/01/voluntary-disclosure-through-the-prominence-of-risk-factors-in-the-10-k,Author-institution research brief and paper citation reviewed,2026-07-25
DISC-01,Risk-factor summaries,blann2026summaries,"Blann, James Justin; Moon, James R.; Wang, Yuxiao",2026,Risk Factor Disclosure Summaries,SSRN working paper,SEC-mandated Item 1A summaries and LLM-generated benchmark summaries,Comparison of firm-provided summaries with LLM benchmark summaries,Information content and reporting quality of risk summaries,Studies whether shortened disclosure representations preserve material risk information.,"Relevant to summarization, omission risk, and controlled transformation validation.",Medium,Rewrite factual-preservation and omission controls.,https://ssrn.com/abstract=6809844,Primary SSRN page and accounting-conference listing reviewed,2026-07-25
GENAI-06,Investor relations and GenAI,jia2025irmeetsgenai,"Jia, Ning; Li, Ningzhong; Xu, Da; Zhang, Yuwen",2025,When IR Meets GenAI,SSRN working paper,Investor-relations communications and GenAI adoption,Empirical analysis of GenAI use in investor-relations settings,Corporate communication practices and market information,Provides evidence that GenAI is entering investor-relations workflows and changing communication production.,Supports the GenAI-era motivation without establishing filing authorship.,Medium,Motivation and alternative mechanisms.,https://ssrn.com/abstract=6552837,Primary SSRN metadata reviewed,2026-07-25
GENAI-07,Corporate response to GenAI,jia2026responses,"Jia, Ning; Li, Ningzhong; Ma, Guang; Xu, Da",2026,Corporate Responses to Generative AI: Early Evidence from Conference Calls,Review of Accounting Studies,Corporate conference calls,Empirical study of corporate discussion and response to generative AI,"Firm responses, disclosure, and economic behavior",Documents early corporate responses to GenAI using capital-market communications.,Provides contemporaneous context for the post-2022 period but not 10-K predictive reliability.,Medium,Era definition and alternative explanations.,https://doi.org/10.1007/s11142-025-09906-3,Primary journal metadata reviewed,2026-07-25
GENAI-08,GenAI and investor processing,cho2026processing,"Cho, Tony; Huang, Allen H.; Pacelli, Joseph; Rennekamp, Kristina",2026,Generative AI and Investor Processing of Financial Media,Working paper,Financial media and GenAI-supported investor information processing,Experimental and/or empirical investor-processing analysis,Investor judgments and information processing,Examines how GenAI changes the way investors process financial information.,"Adjacent to downstream use of transformed financial text, rather than issuer-side model decay.",Medium,External relevance and communication implications.,https://ssrn.com/abstract=5053905,Primary working-paper page reviewed,2026-07-25
